Group,decTime,AM0,BM0,ent0,pow0,Cent0,pk0,freq0,skew0,kurt0,Hmob0,Hcomp0,AM1,BM1,ent1,pow1,Cent1,pk1,freq1,skew1,kurt1,Hmob1,Hcomp1,AM2,BM2,ent2,pow2,Cent2,pk2,freq2,skew2,kurt2,Hmob2,Hcomp2
S,0.18550372123718262,0.9141421736848172,289693.9765467048,3.461275138413095,811230.9913510551,1.2424251371215917,8665.413555921936,1.186787109375,0.1058737155240467,-0.13433417160453276,0.047480078053475885,1.198597060543589,0.47667010679038785,679254.5447318482,3.813068623163336,19055419.320202235,2.8553632966506353,36880.80498400509,3.221279296875,0.011724616677583382,-0.6471202993495182,0.10879954619456492,1.0826450809724721,2.534278391742085,2690789.6378128766,6.671274830244271,19986126.96194593,11.70040070411354,27474.965433011348,4.068984375,-1.2424876434001904,2.014293966231854,0.4476148090918484,1.3270525075739312
S,0.3390922546386719,0.6530019446657711,329474.7080267039,3.6313702947749364,9771493.105464863,1.4152445736409742,36580.42556138866,1.186787109375,-0.07709195684114836,1.6693911365600869,0.053843441624598413,1.2408670392540997,1.1713637872508311,1169046.2755780509,5.180433018992857,32288352.434666973,4.98641548200606,67931.58584537613,4.577607421875,-0.53415626715906,0.21805003922838706,0.19686844038588988,1.3108364401872223,2.1198414137813497,3767462.323185652,5.944504434521065,18296477.840470176,16.10588325107845,46684.16851858847,15.5977734375,-0.1648186213784352,0.33507064947247844,0.5818956377939184,1.0933283975649302
S,0.40391993522644043,1.883076298427732,311781.3171255132,3.673996542152992,93717.62704781233,1.3404585744950441,3516.266765158779,1.864951171875,-0.10143791203065232,-0.2739832547976495,0.05205818346098794,1.2399542008978333,1.8436922866904941,1037310.8552921427,5.272237712993284,4587423.890536247,4.404702085628145,19785.84856288133,3.5603613281250004,-0.29463840212286274,-0.31134231395514433,0.17694591710321939,1.4011366552561557,2.4946528386615143,3712692.987875771,6.287250554551381,9577483.275541876,16.06472647441074,20246.506386936464,14.919609375,0.040719207172404695,1.6803455481552234,0.5789768607122354,1.0965355406554758
S,0.2074439525604248,3.5057360275827656,508824.96054712986,4.155056063985953,11590.698936401197,2.122350504413239,1123.1435098819413,2.71265625,0.004058883571899045,0.26025369516779095,0.08364880921171927,1.1725510496569145,1.2857276202778292,1457364.926359014,4.055550792406563,2045579.1064479423,6.25148914688246,16647.627008459123,6.612099609375001,-0.024832445634634943,-1.2101129520853124,0.22768939501269742,1.0706249753454338,7.834506425361276,3296385.3719823854,5.922023596047553,47241.48925839718,14.097476805862234,1627.5221994444423,11.359248046875,-0.09823187493449283,-0.6037690123504085,0.5245761156814287,1.1587478571218466
S,0.22739148139953613,0.9705880884318807,318567.9221113676,3.454364689980036,395232.4214246061,1.4324789007393155,8236.71529298885,1.864951171875,-0.064565913608302,0.41066239744013755,0.050044342776011976,1.2244834952685646,0.8520735565150601,809328.6748962409,4.218007534575417,5486190.225067172,3.475842617198742,23093.804421229208,3.899443359375,0.1782856555702461,-0.7024930260399875,0.1281931661377511,1.0922009937506292,3.1766301355974638,1864460.182588782,5.668988993166003,14620400.6053608,7.919832337164583,56043.60709386306,5.08623046875,-0.44184471688328847,-0.0812919922951223,0.32761884964310267,1.6360672130087213
S,0.1765279769897461,2.845818890752231,392923.664955139,3.9186694895376393,9765.766801428956,1.729906402056642,929.2645013408744,2.71265625,-0.28164309495942924,1.5108557878824822,0.0656947795913307,1.1831270152924234,2.2425507180464437,1154171.5973026012,4.075544771666799,155957.55948078856,4.985846823965434,4134.433599192382,4.9166894531250005,-0.03648727129569838,-0.5754756417394029,0.18002217305148205,1.0499057399214011,9.198424029340856,2080990.722659111,5.562623816090374,208142.1961430266,8.959867773310568,6316.926593680539,6.103476562500001,0.31045687156078544,-0.06867216065367865,0.3590229837149594,1.5560919298278488
S,0.13763165473937988,0.5707293207028881,93992.94287664868,1.8059346559451999,27128.292295959116,0.39227925893785587,2611.1345725693845,0.508623046875,0.5140994486672181,0.9187206701373198,0.013803748254578587,1.123941903385498,0.3350950516238526,179550.9836325042,2.0626571379284844,1856584.0282556242,0.7576242586367562,20438.939824447647,0.8477050781250001,0.00495810423422697,0.5341399360529788,0.02825552637520845,1.070111640256595,5.735152663560432,2846092.3475663476,7.046591839549432,2224636.316517724,12.275976894222106,18355.798693982364,1.356328125,-0.32811964998682686,3.9161807959929344,0.5365826227917375,1.5329927121322966
S,0.24734020233154297,3.455550488088645,478065.81506103097,4.28307670350049,14915.041102770294,2.0657115688456136,1240.4854436371884,2.71265625,0.3643602133485378,1.352370450638137,0.07983470010023914,1.2405627201376868,0.13782610616289054,1469969.8711668737,3.431736970609011,162137679.39262044,6.287535245704105,192360.91671404173,6.612099609375001,0.004422939299887022,-1.1316033896889195,0.2278591905039645,1.0165079919520368,3.3218542452628115,2898765.011287325,5.390887972140299,2831419.156556577,12.458049589834197,13432.098416884895,13.224199218750002,0.1919330112809028,-1.0326925060481915,0.458376399291675,1.1649375212756203
S,0.1904900074005127,2.895018303817827,259279.678374075,3.7660111892761265,19692.921022328905,1.074244945583324,1662.5966474222573,0.8477050781250001,0.06951713535642517,2.1380339431681117,0.050362844379502066,1.5374532964408176,0.40594140669299994,1289107.5109968686,3.508927028182523,45208690.10406616,5.505593179867531,75533.52089216336,5.594853515625,0.032411144576030136,-1.1103514289468506,0.20108565236277748,1.0301140238012312,3.8755218704872183,2772437.272951726,5.956007585825878,2360458.2173783053,12.066105819395633,11542.714448644783,9.324755859375001,0.1822052412719896,0.5782251294515293,0.4493639915663317,1.2784661718585308
S,0.1984694004058838,1.7552204300249301,1005594.6551528423,5.396490112210683,3014184.9214715096,4.381320710882682,13457.449804718703,3.72990234375,-0.2014024569872784,-0.24875139874383212,0.1711539507496824,1.247145001436727,1.6301827557707742,3091558.3837307147,5.735577072934672,16824872.360320717,13.138461304301204,37488.08258965797,14.919609375,-0.011338342021990928,-0.14768224934470853,0.4817215164821113,1.0613244242273296,1.809197417117918,4374440.829407179,5.91128042131665,34134552.50963664,18.78694503756298,53398.452081201154,16.784560546875003,-0.16617176170245654,0.5587704126361057,0.6715653177373208,1.0612246187782057
