Group,decTime,AM0,BM0,ent0,pow0,Cent0,pk0,freq0,skew0,kurt0,Hmob0,Hcomp0,AM1,BM1,ent1,pow1,Cent1,pk1,freq1,skew1,kurt1,Hmob1,Hcomp1
S,0.2922182083129883,0.9897527813110673,333775.90130200493,3.6540101947852417,1121274.8682289273,1.4333981990840854,11775.390152779644,1.864951171875,0.08645119276085152,-0.27791286364577195,0.05490199795633445,1.2068144727167327,2.402374348660745,2175287.9191677803,6.637692714205168,41189148.217548564,9.322847764004418,43094.150536136374,3.5603613281250004,-1.4054157795942575,1.6740506943345403,0.3896859315036874,1.5092129889830361
S,0.38496994972229004,0.6983778208695766,334892.2124600207,3.7475735475460565,8943681.80948425,1.4347901374787977,36165.78343111016,1.186787109375,-0.02719449629411617,1.6479397010887613,0.055265485558814074,1.2963105756455777,2.469188195966983,2422010.4855976263,6.4744920651143785,50935965.97861788,10.263088557106325,67931.62818672949,4.577607421875,-0.781783820630936,0.5187931866516968,0.43185877533489886,1.407213082994448
S,0.2982025146484375,1.8761583580394487,334651.02118563134,3.7586636437621226,110758.2783460843,1.436344271039802,3756.2757287421105,1.864951171875,-0.10704866460553822,-0.27099734850267376,0.05589105922179159,1.238855927395816,3.090240611198593,2829992.166969109,6.799476187001175,14208540.449775888,12.240367214225143,20246.460878913935,14.919609375,-0.4888721039547925,0.7847719449812698,0.4816182987969774,1.2927231831333277
S,0.24534344673156738,4.19535651611129,515580.6348454923,4.324145571910538,9915.978251360642,2.1635141851042623,1034.5124881607833,1.864951171875,0.022380529181743294,0.2843327277252943,0.08578109675943683,1.2258229897319883,5.020011450740728,1843832.4378348358,5.172330296088871,2100920.9319386547,7.9870351122639365,16661.833920402787,6.612099609375001,0.08120407006704577,-0.6564632736823968,0.31654237807529195,1.5613266642789483
S,0.2234036922454834,1.1179955631403595,441895.09355934104,4.032038380721044,1037386.6051721561,1.947050550553488,10783.784425801647,2.2040332031250003,-0.06586717452523815,-0.06095660976789441,0.07188252802624584,1.2495609711100157,2.4763656979327466,1559832.818184045,5.8476342887595845,21912157.13678022,6.70793959868881,60598.248028525166,5.08623046875,-0.5666298241847644,-0.5157578133440519,0.28207259533517864,1.8360846896624157
S,0.28823041915893555,3.226710166259633,437519.0093875256,4.195837552762968,13207.857383735616,1.9651421008062764,1421.9643842502833,2.71265625,-0.5962330532054814,1.9240497837551214,0.07419674789285331,1.2830703350597468,6.656782483830106,1731897.8208398442,5.522598979292456,495908.3068443791,7.4786236773841726,8197.913417019907,6.103476562500001,0.4293510599774127,-0.4201989529872594,0.3012803857256446,1.7298967443119142
S,0.1655564308166504,0.7200467881407708,104903.69712955091,2.065062840456469,33763.2100651542,0.45187574491814275,3092.172830715203,0.508623046875,0.2939115295258859,0.8854724910712486,0.01581153403990776,1.1779994382696377,5.1785749636572795,2401496.820699902,6.804632639833302,4242851.64217937,10.387387960537394,21437.696740607804,0.8477050781250001,-0.6437881243636386,2.7323998835456624,0.4838084853129571,1.6993838116418902
S,0.42885255813598633,4.672923083028757,522738.7655149658,4.5938690033982414,13147.480647975623,2.2492480824609724,1026.2808324463233,2.71265625,0.34672586327115157,1.873211914683134,0.08921044209546103,1.331162916236722,1.4346272551416708,1751085.0756504664,4.461929949806222,167406022.04542777,7.489524488962538,194518.00324937742,6.612099609375001,0.2653789302140904,-0.8203413761989009,0.28828446453436307,1.4261123759811982
S,0.2822446823120117,3.258299830558969,270474.8984942136,3.8563597567557126,19487.367993082982,1.1066362764085163,1662.387035651107,0.8477050781250001,0.09858669275297337,1.9094366966980791,0.05345339322660923,1.6726181927186525,2.4077978094608006,1806294.2254429841,5.14531552364056,48146220.13528603,7.653250588713781,75971.2283040309,5.594853515625,0.8163326568419828,0.16515726521079444,0.3158629227639569,1.6030547823293635
S,0.18051791191101074,1.933431898742468,1041492.3648840148,5.54932008119645,2901836.264069313,4.562249947021244,13419.450009163449,3.72990234375,-0.1914075069132129,-0.25926704116663135,0.1788369885741584,1.3012255780515876,1.6458417865083126,3842413.4436329138,6.457919294301383,68410844.79008594,16.47685845875524,65810.26999538435,16.784560546875003,-0.3493056523894431,0.7853281136899182,0.598766703894961,1.109054744401782
