Group,decTime,AM0,BM0,ent0,pow0,Cent0,pk0,freq0,skew0,kurt0,Hmob0,Hcomp0,AM1,BM1,ent1,pow1,Cent1,pk1,freq1,skew1,kurt1,Hmob1,Hcomp1,AM2,BM2,ent2,pow2,Cent2,pk2,freq2,skew2,kurt2,Hmob2,Hcomp2,AM3,BM3,ent3,pow3,Cent3,pk3,freq3,skew3,kurt3,Hmob3,Hcomp3
ictal,33.06231999397278,19.0601169189753,225447.2539497967,6.668216145668072,114.47759411581231,12.292290262920252,70.28450581102504,11.71875,-0.6432928963983814,9.354947893160377,0.3524028046733266,1.9721248930535893,13.468231077511733,180994.94714784727,5.911859016443079,59.77604152560396,8.851817459283406,79.52956983762337,5.859375,0.22543028190547437,0.307452874428666,0.30826785472422186,1.4100313889640126,2.0239910002563977,60144.73322199211,3.4101944164108406,23063.993480803456,3.0244374249610857,2379.300901489779,3.125,0.02005082776160291,-0.9464494867039033,0.10014610197398861,1.5051989668049428,2.377047225255668,39056.00391877798,3.3495398879942986,1101.8586881871736,1.754173747709919,471.89488101662005,1.953125,0.21825200911415538,-0.05457120574110519,0.06741282949374454,1.3847195783757549
ictal,40.440088510513306,21.87076205112328,480346.3388383442,7.560365218098226,175.46462012133924,29.720607966494413,85.38512172994517,14.6484375,0.09768821532715409,5.930346224964142,0.6223051362599024,1.7880268251844265,5.218052904932312,198686.51678602814,5.916208426590506,17623.069625353448,10.039198918361729,1172.5935974667589,12.3046875,0.14079254817294493,3.0756182374897074,0.3198809367170827,1.5868247972741463,0.7710291552768881,51424.76517124141,4.00941319528632,1263640.4727658597,2.6571385932242944,20073.9534474351,2.5390625,0.15590949047228994,-0.3342536842758679,0.09378688531345752,1.8934956509102139,0.49933463906152137,38882.73236116028,3.2901283712948692,953429.871478899,2.1384139714022634,15670.97394933877,2.34375,-0.08771824320537899,-0.4255677326926124,0.06501443499343092,1.2203987316179155
ictal,32.01412534713745,3.952797669551927,219655.91532948418,6.530963093665026,27076.314698569273,10.952140734046258,961.0045175112796,11.328125,-0.006248268940567554,8.627963162742274,0.4012064746419305,1.4374346348611176,3.427904703649678,144861.05698938505,5.503792947872788,10702.818578710421,7.148717188435151,910.7690005611361,5.078125,-0.35085724818146563,2.117109707859396,0.21237754246041668,1.5514738189952961,0.5712726983160775,58027.519627233385,3.192486074543127,1067228.042217594,3.0246072559225325,17707.648888761345,2.9296875,-0.0920163978297648,-0.5576501297549852,0.08582182479926306,1.2736058633259955,1.297724977660659,26203.187564337248,3.532862019495086,16388.13192287507,1.3737087860939876,1464.359150947443,0.9765625,0.38020945186410166,-0.44573409194035696,0.04432406756572903,1.420970716339635
ictal,51.118022203445435,18.32264540980786,334177.56518098555,6.435818278478137,251.55687396034244,16.425623174533577,146.59385889679072,12.6953125,0.2531451374918652,11.029843019937093,0.5730416997259223,1.9914122307195499,9.141890185493068,181259.8515334888,6.082009039893923,308.35163301506554,11.124757374359335,209.78323539176125,11.328125,0.36403347843512734,7.653462609394628,0.34207129189999785,1.537551697960385,1.1054005186633888,72839.20586268575,3.5229408415051227,235026.61579487158,3.441603716658865,7887.949090251577,3.125,-0.13888970131307002,-0.48187942121102445,0.11449533052289818,2.117909576549253,0.6217264502627965,44648.44418521504,3.08624908927627,531305.5641050857,2.2657592414236,11157.034167251833,2.1484375,0.20345654459636386,1.2426309964565032,0.07303369348743452,1.2508292151584541
ictal,43.04910635948181,25.57133487106968,264924.0156363072,6.133863123982195,97.62258700712287,13.79311820755382,80.5829555687015,13.4765625,-0.21536055759217695,10.301197221530696,0.4942774073290787,1.6851209550957083,11.142189474485413,184173.38279544222,5.253946997039519,348.1072215908758,9.400401411980353,189.14342421235978,9.9609375,0.16337410775032524,0.45363187923653037,0.31372532249999324,1.3125673958928765,0.3775671288632258,51392.75270028084,2.458520161974719,3450211.8649857743,2.645533736728136,31891.397436218867,2.5390625,-0.10854994824655757,-1.2308792397557295,0.08580380784886694,1.2168019400121264,2.8400525282473845,8063.66274855899,2.3764375558038195,295.7976636385631,0.5754689312539949,296.24728871080777,0.78125,0.3492360944023975,0.17907483460974838,0.020141930597490164,1.4856880057175064
ictal,42.62324643135071,58.05054372365138,804859.2028497492,7.663108642465828,5.596965714309396,38.23466093608767,14.230998507687898,43.75,-0.05780128983237221,6.653275003713,1.2095272298158506,1.1733857481347874,12.062270777684246,211787.2152175572,5.567559101500334,461.50770664194073,9.838107795072547,210.75399499629222,9.1796875,0.05742425732949823,2.0187980926201012,0.39482684511382105,1.5579024019463052,0.7436176325802579,43394.29999053458,3.29110655998248,1364195.200554249,2.2202006503403835,20945.33312336438,2.34375,0.03329156254751514,-0.5429763144379653,0.07893435991139156,2.20451065055163,0.4871890152483858,34172.061259176066,3.196405086104891,252363.44962798143,1.8072827250328307,8623.044543987417,1.7578125,0.44297203165564714,0.27564791595352833,0.05752366452683146,1.2325854665778666
ictal,41.58003497123718,7.315462446734083,266476.3326269804,5.9531615148957675,2978.2251958211987,14.559788233350025,600.1702545432786,14.0625,0.4764090509270559,5.347705623752461,0.46330347071348843,1.2942225042867248,5.1500219335001,127484.11549935106,5.395294217397241,3449.4993454744977,6.829830052754237,752.1695856956176,8.3984375,0.003953680479357538,1.2013387362998555,0.24692813420461787,1.3502549026810988,0.5343175009886368,55373.85007620993,2.7248002537842893,1199697.2633071118,2.867177622573313,17716.029516818046,2.9296875,0.02528189654356344,-0.9268933922674849,0.09282356587988849,1.2217731308747846,1.5823592275541625,21998.870808263873,3.5549136313780783,2128.3528070123066,1.0989408274730246,610.6956846379603,0.390625,0.3906853235468144,0.6052732941962695,0.046862078528328945,1.3946088072109042
ictal,41.48529076576233,24.677076109896483,322897.9355111787,6.703387450094675,30.802706212988475,20.01678552221469,45.87501971276241,17.3828125,0.22028920105722863,10.883293547641,0.5229359492732158,1.8478017062300143,11.929621265825832,181929.4297727417,5.509662876815264,484.3350622335496,10.33902535244278,212.40368604213356,7.421875,0.023403060417910827,1.917184520318627,0.31538043773785845,1.4656008889160481,0.600914658650562,47473.719521808904,2.560823316981654,2677535.0771991005,2.483407527711814,31989.452847497454,2.5390625,-0.01879316978752557,-1.008206984282473,0.0794108228339033,1.5497187828299723,0.8044695720186731,28335.362425206968,2.821180783565423,37782.55377192559,1.4628801154191886,2741.8846020875485,1.3671875,0.08638226008335291,2.6984194733121383,0.04684562263769946,1.1339642044918845
ictal,41.08536243438721,6.4434609245838015,256667.39224448096,6.878366147364418,447.46748802802443,16.193527866294385,138.6338761534573,18.75,0.3461466022272214,17.95280485454223,0.4826870263516233,1.7360193250692293,4.712036892611988,178957.874233858,5.8009109724677685,552.1833801671742,10.361728185372211,200.8876474987754,9.9609375,0.04827695498140706,1.7299191613766727,0.3117632234095134,1.5094424513078815,0.9448026591290929,58119.92985364548,4.282086255925628,31710.30726966081,3.550999128889404,2181.5974759701317,3.125,-0.09548896697383798,0.04546176955727077,0.09674725580340034,1.6572272599157907,0.45288853406216245,36886.65861734035,2.8092730993461617,190285.36716782546,1.9010723308277593,8437.374925132179,1.7578125,0.0018815570062180548,-0.45863976026785913,0.06204168952610466,1.1594774570234143
ictal,42.37890005111694,10.09609299567252,270573.58934000693,6.366510599600859,624.1862832799276,14.47187080540865,188.98155457453754,12.6953125,0.12399403251469032,7.3672531773102445,0.4792525735684349,1.3289553802850447,3.4403105643189913,90892.92696603783,5.380722019362749,6599.721281808618,4.397691416811537,734.3115335249698,2.9296875,-0.8094723799873161,6.012627735356141,0.1974687116301082,1.720294631487258,0.6647478348929947,52145.159706754785,3.1283043419872874,225205.7465216284,2.746560567000562,8832.445778585494,2.734375,-0.09815256649927456,-0.07434892299491791,0.09235425196160352,1.290082406179258,0.8257102525594432,22243.012929884757,2.5857870153641724,17077.755277565786,0.9753214281096262,2191.6686456487314,0.78125,-0.022091445148320694,-1.0957799496519338,0.041077184273385234,1.339953212119508
